,_last_modified,analytics_profile_ref,application_profile_ref,cloud_ref,error_page_profile_ref,http_policies,marked_for_delete,markers,name,network_profile_ref,network_security_policy_ref,pool_ref,redis_db,redis_port,se_group_ref,self_se_election,services,ssl_key_and_certificate_refs,ssl_profile_ref,tenant_ref,tls_ticket_key,url,uuid,version,vip_runtime,vrf_context_ref,vsvip_ref,waf_policy_ref,analytics_policy.all_headers,analytics_policy.full_client_logs.duration,analytics_policy.full_client_logs.enabled,analytics_policy.metrics_realtime_update.duration,analytics_policy.metrics_realtime_update.enabled,content_rewrite.rewritable_content_ref
0,1720707512296814,https://192.168.1.15/api/analyticsprofile/analyticsprofile-768ef0ed-a2ac-427c-92c7-8715ce805374,https://192.168.1.15/api/applicationprofile/applicationprofile-a70f9a51-201c-428a-ac55-8d70e840650f,https://192.168.1.15/api/cloud/cloud-baf1f7f6-18ff-46cb-a134-6154d9af52a1,https://192.168.1.15/api/errorpageprofile/errorpageprofile-aed90b14-c20b-4228-a63d-1a0cc585e784,"[{'http_policy_set_ref': 'https://192.168.1.15/api/httppolicyset/httppolicyset-270eb82f-1558-44fb-92fe-c349dd597fdd', 'index': 11}]",False,"[{'key': 'division', 'values': ['org1']}]",vs-example-org1,https://192.168.1.15/api/networkprofile/networkprofile-4ee2f4b9-728c-4437-a81a-0f7ad3550097,https://192.168.1.15/api/networksecuritypolicy/networksecuritypolicy-03e5cea0-8e03-4afd-bfb7-a8a328133c17,https://192.168.1.15/api/pool/pool-9f434947-9a77-4c0f-a19d-62b359b1ed5c,5,5025,https://192.168.1.15/api/serviceenginegroup/serviceenginegroup-17a49de4-afad-4929-a8e1-297be6ab9d70,True,"[{'enable_ssl': True, 'port': 443, 'port_range_end': 443}]",['https://192.168.1.15/api/sslkeyandcertificate/sslkeyandcertificate-f2012485-19ec-4adf-ad16-8ae102a661e3'],https://192.168.1.15/api/sslprofile/sslprofile-ec1f5255-6430-4441-8b2b-33d981939c79,https://192.168.1.15/api/tenant/admin,"[{'aes_key': 'Xr9esAYxM0esFU5MA6/lBA==', 'hmac_key': 'OkMp31EIEZZLSBMhZNH6yg==', 'name': 'afa6bc93-166a-4efb-86cb-2e7c49d50262'}, {'aes_key': 'uN0gFzIy2z14mtnqV2egWQ==', 'hmac_key': 'ERY5oIrqKTff8vP5Agdf6Q==', 'name': 'c1a37021-8eec-4cbd-901b-dc2b75eadc96'}, {'aes_key': 'Wzw26RrA1ouXOne7RK82EA==', 'hmac_key': 'AI90Md57Cyfp6AlhDK7L9w==', 'name': '25ffd010-321a-4998-be49-9703c3be9bca'}]",https://192.168.1.15/api/virtualservice/virtualservice-f851f486-66d3-48ed-bfaa-d749c477f91c,virtualservice-f851f486-66d3-48ed-bfaa-d749c477f91c,52,"[{'first_se_assigned_time': {'secs': 1720697367, 'usecs': 998289}, 'num_additional_se': 0, 'requested_resource': {'num_se': 1, 'num_standby_se': 1}, 'se_list': [{'active_on_cloud': True, 'active_on_se': True, 'admin_down_requested': False, 'attach_ip_in_progress': False, 'cloud_programming_done': True, 'cloud_programming_status': 'Virtual Service IP is reachable in the Cloud', 'delete_in_progress': False, 'detach_ip_in_progress': False, 'incarnation': '2024-08-13 14:32:26.192520', 'is_portchannel': False, 'is_primary': True, 'is_standby': False, 'memory': 2944, 'mgmt_ip': {'addr': '192.168.1.20', 'type': 'V4'}, 'mgmt_ip6': {'addr': 'fd38:9bda:673d:0:20c:29ff:fec4:a7af', 'type': 'V6'}, 'scaleout_in_progress': False, 'se_programming_done': True, 'se_ready_in_progress': False, 'se_ref': 'https://192.168.1.15/api/serviceengine/se-564dcb90-ff93-dc99-bf4a-62907bc4a7af', 'sec_idx': 0, 'vcpus': 1, 'vip6_subnet_mask': 128, 'vip_intf_list': [{'is_portchannel': False, 'vip_intf_ip': {'addr': '192.168.1.40', 'type': 'V4'}, 'vip_intf_mac': '00:0c:29:c4:a7:e1', 'vlan_id': 0}], 'vip_intf_mac': '00:0c:29:c4:a7:e1', 'vip_subnet_mask': 32, 'vlan_id': 0, 'vnic': [{'mac': '00:0c:29:c4:a7:e1', 'type': 'VNIC_TYPE_FE'}, {'mac': '00:0c:29:c4:a7:e1', 'type': 'VNIC_TYPE_BE'}]}, {'active_on_cloud': False, 'active_on_se': True, 'admin_down_requested': False, 'attach_ip_in_progress': False, 'cloud_programming_done': True, 'cloud_programming_status': 'Virtual Service IP is not reachable in the Cloud', 'delete_in_progress': False, 'detach_ip_in_progress': False, 'incarnation': '2024-08-13 14:32:48.641733', 'is_portchannel': False, 'is_primary': False, 'is_standby': True, 'memory': 1971, 'mgmt_ip': {'addr': '192.168.1.21', 'type': 'V4'}, 'mgmt_ip6': {'addr': 'fd38:9bda:673d:0:20c:29ff:feba:47eb', 'type': 'V6'}, 'scaleout_in_progress': False, 'se_programming_done': True, 'se_ready_in_progress': False, 'se_ref': 'https://192.168.1.15/api/serviceengine/se-564d5830-e7a9-edc0-194c-c76236ba47eb', 'sec_idx': 1, 'vcpus': 1, 'vip6_subnet_mask': 128, 'vip_intf_list': [{'is_portchannel': False, 'vip_intf_ip': {'addr': '192.168.1.41', 'type': 'V4'}, 'vip_intf_mac': '00:0c:29:ba:47:1d', 'vlan_id': 0}], 'vip_intf_mac': '00:0c:29:ba:47:1d', 'vip_subnet_mask': 32, 'vlan_id': 0, 'vnic': [{'mac': '00:0c:29:ba:47:1d', 'type': 'VNIC_TYPE_FE'}, {'mac': '00:0c:29:ba:47:1d', 'type': 'VNIC_TYPE_BE'}]}], 'vip_id': '1'}]",https://192.168.1.15/api/vrfcontext/vrfcontext-e69db980-a4b4-4097-8717-7702fdba30b6,https://192.168.1.15/api/vsvip/vsvip-188553aa-bbe1-4b6e-b2ed-7ed1d5f78293,https://192.168.1.15/api/wafpolicy/wafpolicy-e530ee23-886b-4649-a632-2b62ca2c1e0a,True,0.0,True,0.0,True,https://192.168.1.15/api/stringgroup/stringgroup-caeef771-f17f-4099-936b-33023eb37300
1,1720697366159540,https://192.168.1.15/api/analyticsprofile/analyticsprofile-768ef0ed-a2ac-427c-92c7-8715ce805374,https://192.168.1.15/api/applicationprofile/applicationprofile-a70f9a51-201c-428a-ac55-8d70e840650f,https://192.168.1.15/api/cloud/cloud-baf1f7f6-18ff-46cb-a134-6154d9af52a1,https://192.168.1.15/api/errorpageprofile/errorpageprofile-aed90b14-c20b-4228-a63d-1a0cc585e784,"[{'http_policy_set_ref': 'https://192.168.1.15/api/httppolicyset/httppolicyset-270eb82f-1558-44fb-92fe-c349dd597fdd', 'index': 11}]",False,"[{'key': 'division', 'values': ['org1']}]",vs-example-org1-new-name,https://192.168.1.15/api/networkprofile/networkprofile-4ee2f4b9-728c-4437-a81a-0f7ad3550097,https://192.168.1.15/api/networksecuritypolicy/networksecuritypolicy-03e5cea0-8e03-4afd-bfb7-a8a328133c17,https://192.168.1.15/api/pool/pool-9f434947-9a77-4c0f-a19d-62b359b1ed5c,4,5028,https://192.168.1.15/api/serviceenginegroup/serviceenginegroup-30fc00e4-24df-4d0c-b1db-76278885757f,True,"[{'enable_ssl': True, 'port': 443, 'port_range_end': 443}]",['https://192.168.1.15/api/sslkeyandcertificate/sslkeyandcertificate-f2012485-19ec-4adf-ad16-8ae102a661e3'],https://192.168.1.15/api/sslprofile/sslprofile-ec1f5255-6430-4441-8b2b-33d981939c79,https://192.168.1.15/api/tenant/admin,"[{'aes_key': '9ho/IuZUoLoYmPbBTYa9Hg==', 'hmac_key': '47/epZdmSb2x8cVlWNzmFQ==', 'name': '53546712-62eb-4969-b70e-7fab8eb6e55a'}, {'aes_key': 'pNd4VNRtHAPuDgEFY7sWpg==', 'hmac_key': '9gkzcbyMrQukzBcg1TIMjg==', 'name': '9ec5d919-e2f0-4a45-b183-3cfe4de43bdf'}, {'aes_key': 'vOVu8JzPNVyM1EI2Oipl0Q==', 'hmac_key': 'ajHL3Q7WPjXgy6sY/ik+vA==', 'name': 'b653e676-e65a-4bfe-a7f5-5abb1a406cfd'}]",https://192.168.1.15/api/virtualservice/virtualservice-ad04064c-f206-40c2-95b8-a69bd6d57646,virtualservice-ad04064c-f206-40c2-95b8-a69bd6d57646,31,"[{'first_se_assigned_time': {'secs': 1720697367, 'usecs': 400974}, 'num_additional_se': 0, 'requested_resource': {'num_se': 1, 'num_standby_se': 1}, 'se_list': [{'active_on_cloud': True, 'active_on_se': True, 'admin_down_requested': False, 'attach_ip_in_progress': False, 'cloud_programming_done': True, 'cloud_programming_status': 'Virtual Service IP is reachable in the Cloud', 'delete_in_progress': False, 'detach_ip_in_progress': False, 'incarnation': '2024-08-13 14:32:19.649737', 'is_portchannel': False, 'is_primary': True, 'is_standby': False, 'memory': 1971, 'mgmt_ip': {'addr': '192.168.1.22', 'type': 'V4'}, 'mgmt_ip6': {'addr': 'fd38:9bda:673d:0:20c:29ff:fea7:8358', 'type': 'V6'}, 'scaleout_in_progress': False, 'se_programming_done': True, 'se_ready_in_progress': False, 'se_ref': 'https://192.168.1.15/api/serviceengine/se-564d63c6-3882-ca52-7be5-b04c9ba78358', 'sec_idx': 0, 'vcpus': 1, 'vip6_subnet_mask': 128, 'vip_intf_list': [{'is_portchannel': False, 'vip_intf_ip': {'addr': '192.168.1.42', 'type': 'V4'}, 'vip_intf_mac': '00:0c:29:a7:83:8a', 'vlan_id': 0}], 'vip_intf_mac': '00:0c:29:a7:83:8a', 'vip_subnet_mask': 32, 'vlan_id': 0, 'vnic': [{'mac': '00:0c:29:a7:83:8a', 'type': 'VNIC_TYPE_FE'}, {'mac': '00:0c:29:a7:83:8a', 'type': 'VNIC_TYPE_BE'}]}, {'active_on_cloud': False, 'active_on_se': True, 'admin_down_requested': False, 'attach_ip_in_progress': False, 'cloud_programming_done': True, 'cloud_programming_status': 'Virtual Service IP is not reachable in the Cloud', 'delete_in_progress': False, 'detach_ip_in_progress': False, 'incarnation': '2024-08-13 14:33:09.338763', 'is_portchannel': False, 'is_primary': False, 'is_standby': True, 'memory': 1971, 'mgmt_ip': {'addr': '192.168.1.23', 'type': 'V4'}, 'mgmt_ip6': {'addr': 'fd38:9bda:673d:0:20c:29ff:fea7:610c', 'type': 'V6'}, 'scaleout_in_progress': False, 'se_programming_done': True, 'se_ready_in_progress': False, 'se_ref': 'https://192.168.1.15/api/serviceengine/se-564d0f61-3a27-ff26-8af7-306296a7610c', 'sec_idx': 1, 'vcpus': 1, 'vip6_subnet_mask': 128, 'vip_intf_list': [{'is_portchannel': False, 'vip_intf_ip': {'addr': '192.168.1.43', 'type': 'V4'}, 'vip_intf_mac': '00:0c:29:a7:61:3e', 'vlan_id': 0}], 'vip_intf_mac': '00:0c:29:a7:61:3e', 'vip_subnet_mask': 32, 'vlan_id': 0, 'vnic': [{'mac': '00:0c:29:a7:61:3e', 'type': 'VNIC_TYPE_FE'}, {'mac': '00:0c:29:a7:61:3e', 'type': 'VNIC_TYPE_BE'}]}], 'vip_id': '1'}]",https://192.168.1.15/api/vrfcontext/vrfcontext-e69db980-a4b4-4097-8717-7702fdba30b6,https://192.168.1.15/api/vsvip/vsvip-472a36cf-f2df-44ee-b793-4de2f024bbae,https://192.168.1.15/api/wafpolicy/wafpolicy-e530ee23-886b-4649-a632-2b62ca2c1e0a,True,0.0,False,0.0,True,https://192.168.1.15/api/stringgroup/stringgroup-caeef771-f17f-4099-936b-33023eb37300
2,1723570667769105,https://192.168.1.15/api/analyticsprofile/analyticsprofile-768ef0ed-a2ac-427c-92c7-8715ce805374,https://192.168.1.15/api/applicationprofile/applicationprofile-d6f57996-7ee0-4993-8eee-d95f82c84c45,https://192.168.1.15/api/cloud/cloud-baf1f7f6-18ff-46cb-a134-6154d9af52a1,https://192.168.1.15/api/errorpageprofile/errorpageprofile-98ed93fe-fe06-4ebb-a1e5-b8e20f138597,"[{'http_policy_set_ref': 'https://192.168.1.15/api/httppolicyset/httppolicyset-931cff3d-beb8-4fed-84df-dd74cc8229ef', 'index': 11}]",False,,vs-example2-org1,https://192.168.1.15/api/networkprofile/networkprofile-4ee2f4b9-728c-4437-a81a-0f7ad3550097,https://192.168.1.15/api/networksecuritypolicy/networksecuritypolicy-c9855fb0-bbe7-46c3-99a0-4945b8b002f5,,10,5021,https://192.168.1.15/api/serviceenginegroup/serviceenginegroup-17a49de4-afad-4929-a8e1-297be6ab9d70,True,"[{'port': 80, 'port_range_end': 80}]",,,https://192.168.1.15/api/tenant/admin,"[{'aes_key': 'eKWLYx/z5TrATKM36Es0OA==', 'hmac_key': 'r5eBT0pSlil5CbTk1StTiQ==', 'name': '49c28c4a-2a63-4960-b96b-3ed9c5237975'}, {'aes_key': 'egblBuwSSTPB1deLPY1Mjw==', 'hmac_key': 'sXBYsEWXQsTGq+MZvjIZyg==', 'name': '5c7faaae-5689-41fb-9e6c-51dec6a55c67'}, {'aes_key': '+BQZDep6ztec6Nbi0Nv+Lw==', 'hmac_key': 'lYBIK/gqr9VFDbNukX6CFQ==', 'name': 'f602a070-cd08-4ae4-8ff7-14ec485b844b'}]",https://192.168.1.15/api/virtualservice/virtualservice-7779e1cb-c7b8-4050-a266-1ab699dd4076,virtualservice-7779e1cb-c7b8-4050-a266-1ab699dd4076,7,"[{'first_se_assigned_time': {'secs': 1723570672, 'usecs': 240832}, 'num_additional_se': 0, 'requested_resource': {'num_se': 1, 'num_standby_se': 1}, 'se_list': [{'active_on_cloud': True, 'active_on_se': True, 'admin_down_requested': False, 'attach_ip_in_progress': False, 'cloud_programming_done': True, 'cloud_programming_status': 'Virtual Service IP is reachable in the Cloud', 'delete_in_progress': False, 'detach_ip_in_progress': False, 'incarnation': '2024-08-13 17:37:52.251631', 'is_portchannel': False, 'is_primary': True, 'is_standby': False, 'memory': 2944, 'mgmt_ip': {'addr': '192.168.1.20', 'type': 'V4'}, 'mgmt_ip6': {'addr': 'fd38:9bda:673d:0:20c:29ff:fec4:a7af', 'type': 'V6'}, 'scaleout_in_progress': False, 'se_programming_done': True, 'se_ready_in_progress': False, 'se_ref': 'https://192.168.1.15/api/serviceengine/se-564dcb90-ff93-dc99-bf4a-62907bc4a7af', 'sec_idx': 0, 'vcpus': 1, 'vip6_subnet_mask': 128, 'vip_intf_list': [{'is_portchannel': False, 'vip_intf_ip': {'addr': '192.168.1.40', 'type': 'V4'}, 'vip_intf_mac': '00:0c:29:c4:a7:e1', 'vlan_id': 0}], 'vip_intf_mac': '00:0c:29:c4:a7:e1', 'vip_subnet_mask': 32, 'vlan_id': 0, 'vnic': [{'mac': '00:0c:29:c4:a7:e1', 'type': 'VNIC_TYPE_FE'}, {'mac': '00:0c:29:c4:a7:e1', 'type': 'VNIC_TYPE_BE'}]}, {'active_on_cloud': False, 'active_on_se': True, 'admin_down_requested': False, 'attach_ip_in_progress': False, 'cloud_programming_done': True, 'cloud_programming_status': 'Virtual Service IP is not reachable in the Cloud', 'delete_in_progress': False, 'detach_ip_in_progress': False, 'incarnation': '2024-08-13 17:37:52.871926', 'is_portchannel': False, 'is_primary': False, 'is_standby': True, 'memory': 1971, 'mgmt_ip': {'addr': '192.168.1.21', 'type': 'V4'}, 'mgmt_ip6': {'addr': 'fd38:9bda:673d:0:20c:29ff:feba:47eb', 'type': 'V6'}, 'scaleout_in_progress': False, 'se_programming_done': True, 'se_ready_in_progress': False, 'se_ref': 'https://192.168.1.15/api/serviceengine/se-564d5830-e7a9-edc0-194c-c76236ba47eb', 'sec_idx': 1, 'vcpus': 1, 'vip6_subnet_mask': 128, 'vip_intf_list': [{'is_portchannel': False, 'vip_intf_ip': {'addr': '192.168.1.41', 'type': 'V4'}, 'vip_intf_mac': '00:0c:29:ba:47:1d', 'vlan_id': 0}], 'vip_intf_mac': '00:0c:29:ba:47:1d', 'vip_subnet_mask': 32, 'vlan_id': 0, 'vnic': [{'mac': '00:0c:29:ba:47:1d', 'type': 'VNIC_TYPE_FE'}, {'mac': '00:0c:29:ba:47:1d', 'type': 'VNIC_TYPE_BE'}]}], 'vip_id': '1'}]",https://192.168.1.15/api/vrfcontext/vrfcontext-e69db980-a4b4-4097-8717-7702fdba30b6,https://192.168.1.15/api/vsvip/vsvip-242e6bbc-c704-44a1-a0a0-7b7fda346eef,,,,True,,True,https://192.168.1.15/api/stringgroup/stringgroup-caeef771-f17f-4099-936b-33023eb37300
